id,visitors
air_00a91d42b08b08d9_2017-04-23,1.746163253843104
air_00a91d42b08b08d9_2017-04-24,25.119707420980262
air_00a91d42b08b08d9_2017-04-25,30.99080374916659
air_00a91d42b08b08d9_2017-04-26,29.184568755111176
air_00a91d42b08b08d9_2017-04-27,33.891401252377364
air_00a91d42b08b08d9_2017-04-28,38.13648113191027
air_00a91d42b08b08d9_2017-04-29,12.202504311124304
air_00a91d42b08b08d9_2017-04-30,1.746163253843104
air_00a91d42b08b08d9_2017-05-01,25.003402083251515
air_00a91d42b08b08d9_2017-05-02,30.73812049231932
air_00a91d42b08b08d9_2017-05-03,26.786028190359794
air_00a91d42b08b08d9_2017-05-04,28.085062338947722
air_00a91d42b08b08d9_2017-05-05,34.933295185265905
air_00a91d42b08b08d9_2017-05-06,13.959456273779056
air_00a91d42b08b08d9_2017-05-07,1.6064221827541254
air_00a91d42b08b08d9_2017-05-08,25.003402083251515
air_00a91d42b08b08d9_2017-05-09,30.73812049231932
air_00a91d42b08b08d9_2017-05-10,29.90494313011155
air_00a91d42b08b08d9_2017-05-11,33.86633543201491
air_00a91d42b08b08d9_2017-05-12,37.91281931257396
air_00a91d42b08b08d9_2017-05-13,13.959456273779056
air_00a91d42b08b08d9_2017-05-14,1.6064221827541254
air_00a91d42b08b08d9_2017-05-15,25.003402083251515
air_00a91d42b08b08d9_2017-05-16,30.73812049231932
air_00a91d42b08b08d9_2017-05-17,29.90494313011155
air_00a91d42b08b08d9_2017-05-18,33.86633543201491
air_00a91d42b08b08d9_2017-05-19,37.91281931257396
air_00a91d42b08b08d9_2017-05-20,13.959456273779056
air_00a91d42b08b08d9_2017-05-21,1.6064221827541254
air_00a91d42b08b08d9_2017-05-22,25.003402083251515
air_00a91d42b08b08d9_2017-05-23,30.73812049231932
air_00a91d42b08b08d9_2017-05-24,29.90494313011155
air_00a91d42b08b08d9_2017-05-25,33.86633543201491
air_00a91d42b08b08d9_2017-05-26,37.91281931257396
air_00a91d42b08b08d9_2017-05-27,15.058003803942995
air_00a91d42b08b08d9_2017-05-28,1.6064221827541254
air_00a91d42b08b08d9_2017-05-29,26.03079976511423
air_00a91d42b08b08d9_2017-05-30,30.73812049231932
air_00a91d42b08b08d9_2017-05-31,29.90494313011155
air_0164b9927d20bcc3_2017-04-23,4.389619376362061
air_0164b9927d20bcc3_2017-04-24,4.601770966732452
air_0164b9927d20bcc3_2017-04-25,6.226374117545404
air_0164b9927d20bcc3_2017-04-26,7.232356141305635
air_0164b9927d20bcc3_2017-04-27,7.463505217325704
air_0164b9927d20bcc3_2017-04-28,8.056762022140525
air_0164b9927d20bcc3_2017-04-29,3.689121071196825
air_0164b9927d20bcc3_2017-04-30,4.389619376362061
air_0164b9927d20bcc3_2017-05-01,4.932310229591594
air_0164b9927d20bcc3_2017-05-02,6.539091447806928
air_0164b9927d20bcc3_2017-05-03,4.471822862494108
air_0164b9927d20bcc3_2017-05-04,3.9266390420167374
air_0164b9927d20bcc3_2017-05-05,11.06819285732185
air_0164b9927d20bcc3_2017-05-06,3.8655868458231475
air_0164b9927d20bcc3_2017-05-07,4.147393790619547
air_0164b9927d20bcc3_2017-05-08,4.791914581589753
air_0164b9927d20bcc3_2017-05-09,6.513787201180163
air_0164b9927d20bcc3_2017-05-10,7.324207745329425
air_0164b9927d20bcc3_2017-05-11,6.383802842733354
air_0164b9927d20bcc3_2017-05-12,8.137807771737545
air_0164b9927d20bcc3_2017-05-13,8.699684320773697
air_0164b9927d20bcc3_2017-05-14,4.147393790619547
air_0164b9927d20bcc3_2017-05-15,4.791914581589753
air_0164b9927d20bcc3_2017-05-16,5.832895268272832
air_0164b9927d20bcc3_2017-05-17,7.324207745329425
air_0164b9927d20bcc3_2017-05-18,6.383802842733354
air_0164b9927d20bcc3_2017-05-19,8.137807771737545
air_0164b9927d20bcc3_2017-05-20,3.8655868458231475
